Index,Variable 1,Variable 2,Label
1,0.41300821,-0.025361301,Blue
2,0.317555945,0.007643189,Blue
3,0.512555994,0.185423096,Red
4,2.183464297,-0.64862405,Red
5,-0.998242571,-0.502556892,Red
6,0.376310489,-0.007385433,Blue
7,0.372759266,-0.003218257,Blue
8,1.419250169,-0.350685558,Red
9,0.531401057,0.283713022,Red
10,1.795538447,1.075032277,Red
11,0.348747787,0.006655136,Blue
12,1.964079142,-0.775002759,Red
13,-0.199627547,2.111178151,Red
14,-0.061036648,1.619675168,Red
15,0.384206299,1.377991919,Red
16,-0.639924591,0.57660625,Red
17,0.06594529,-1.137951465,Red
18,0.286956311,0.026430377,Blue
19,1.701902796,1.12988009,Red
20,-0.066341914,-0.39095064,Red
21,-0.472462114,-1.167921143,Red
22,1.802442599,0.872993275,Red
23,-0.37513065,0.707677198,Red
24,-0.114583904,-0.341836284,Red
25,-0.971817483,1.465373048,Red
26,-1.685323558,-0.510887037,Red
27,0.438279047,-0.011314645,Blue
28,0.235253827,0.044300207,Blue
29,0.33832143,0.020676145,Blue
30,0.305156182,0.031343102,Blue
31,0.200017211,0.057978488,Blue
32,0.321216736,0.032711718,Blue
33,0.900349068,-0.81571132,Red
34,0.371770815,0.024553382,Blue
35,0.435811259,0.014503522,Blue
36,0.491602765,0.007154548,Blue
37,0.34569485,0.038492554,Blue
38,0.421868618,0.027673973,Blue
39,0.917524748,-0.936595802,Red
40,0.414901268,1.429945731,Red
41,0.289972731,0.053559563,Blue
42,0.287431882,0.056289589,Blue
43,0.222942364,0.068482587,Blue
44,0.390199049,0.045974644,Blue
45,0.195818542,0.07571064,Blue
46,-1.506165226,-0.07096638,Red
47,0.376882566,0.053993552,Blue
48,-0.685965415,-0.854939954,Red
49,0.463496201,0.046630524,Blue
50,0.302415965,0.068407477,Blue
51,-0.96587273,0.250757604,Red
52,0.525780052,0.047694619,Blue
53,-1.321001991,0.844681956,Red
54,1.106731959,1.784094714,Red
55,0.344619038,0.069239319,Blue
56,0.329919145,0.073298406,Blue
57,0.301791292,0.078177531,Blue
58,0.466217004,0.068981625,Blue
59,-0.525602007,-1.054816867,Red
60,-0.140919575,-0.563334299,Red
61,0.383186234,0.077953827,Blue
62,0.350910016,0.082811322,Blue
63,-0.285316532,-0.100287078,Red
64,0.688771208,0.190557972,Red
65,1.80599177,-0.487199733,Red
66,0.525605756,0.077586492,Blue
67,-0.360808633,-0.132722874,Red
68,0.996247238,-0.766025752,Red
69,1.028272166,-1.62324647,Red
70,0.33792106,-1.858634239,Red
71,-0.517177005,1.987013462,Red
72,0.242201898,0.092633566,Blue
73,0.395243788,0.090026433,Blue
74,0.430033029,0.092486485,Blue
75,0.635682044,-0.173480973,Red
76,-0.760458879,-0.788277399,Red
77,0.247524429,0.098469456,Blue
78,-0.30914749,-0.118008993,Red
79,0.400068624,0.099661712,Blue
80,0.466252739,0.103109236,Blue
81,-0.016490897,1.364231049,Red
82,0.397713715,0.106182011,Blue
83,0.331412161,0.108188995,Blue
84,0.331013806,0.110908785,Blue
85,0.460181403,0.118190184,Blue
86,0.349157152,0.117171191,Blue
87,0.236514081,0.11427041,Blue
88,0.350924303,0.123079115,Blue
89,0.197880045,-0.529065715,Red
90,0.371859283,0.127426074,Blue
91,0.006500737,1.005619529,Red
92,0.62441411,-0.247971511,Red
93,-0.25249053,-0.391036693,Red
94,-0.947106111,-0.4569285,Red
95,0.289391187,0.124273857,Blue
96,0.440696209,0.345914599,Red
97,0.37179278,0.133646347,Blue
98,-0.072695732,-0.261445654,Red
99,0.626860371,0.16030176,Blue
100,0.63292039,0.250994205,Red
101,-0.511141739,1.661686705,Red
102,0.386166446,0.141354662,Blue
103,0.316152874,0.137016532,Blue
104,0.259974269,0.133157426,Blue
105,0.759141378,-0.27737521,Red
106,0.56974108,0.174141321,Blue
107,-0.213099982,-0.460919992,Red
108,-0.701757429,0.424359537,Red
109,0.76436686,0.230543162,Red
110,0.19819537,-0.73888118,Red
111,0.438299213,0.161438082,Blue
112,0.273377798,0.141845139,Blue
113,0.176165272,0.129681913,Blue
114,1.257347124,0.344386282,Red
115,0.218646471,0.137999583,Blue
116,-1.043820329,0.194385741,Red
117,0.274835038,0.14931304,Blue
118,-0.135151948,-0.096703753,Red
119,0.637199222,-1.715519523,Red
120,0.902220898,-0.77801079,Red
121,-0.312069252,-0.415052414,Red
122,0.629030332,0.070442865,Red
123,0.492187467,0.189723859,Blue
124,0.223970519,0.144907664,Blue
125,1.890432266,0.695326115,Red
126,-1.334445565,0.869586814,Red
127,0.615150625,-0.930250864,Red
128,-0.639881615,0.685552685,Red
129,0.483838344,-0.26888582,Red
130,-0.332460511,-0.273065144,Red
131,0.347401661,0.170575815,Blue
132,0.011148812,-0.363087677,Red
133,0.374596847,-0.566267564,Red
134,1.255955211,0.053741958,Red
135,0.203204759,-0.510481981,Red
136,1.049099498,1.871310807,Red
137,1.979338273,-0.677972057,Red
138,0.445092143,0.193184954,Blue
139,0.404844815,0.188738087,Blue
140,0.287591961,0.166950283,Blue
141,0.192376209,0.148155788,Blue
142,0.200747123,0.15195477,Blue
143,1.822760247,-0.477775287,Red
144,0.359387318,0.19229013,Blue
145,-0.730958983,0.218012792,Red
146,0.4509955,0.218551862,Blue
147,0.135120594,0.140768305,Blue
148,2.079078631,0.467202421,Red
149,0.359035115,0.202152786,Blue
150,0.371100548,0.208845266,Blue
151,0.269322265,0.183298168,Blue
152,0.441231205,0.23644619,Blue
153,0.409168653,0.230881929,Blue
154,0.401891656,0.232500249,Blue
155,0.811157096,0.504383161,Red
156,0.199330829,-0.62635864,Red
157,0.323964942,0.21137992,Blue
158,0.216098794,0.179040128,Blue
159,0.298977655,0.209309411,Blue
160,0.462466897,0.269076705,Blue
161,0.306885057,0.218151524,Blue
162,0.571875161,-0.159478666,Red
163,0.271890411,0.208486052,Blue
164,0.539438155,1.353121937,Red
165,0.547707632,0.31459886,Blue
166,0.357039118,0.246827538,Blue
167,-1.550636047,-0.318701212,Red
168,0.332513744,0.240850165,Blue
169,0.610137943,0.377853224,Red
170,-1.099378961,-1.384154134,Red
171,0.830588098,-1.829854918,Red
172,0.692170172,-0.21130876,Red
173,0.434691136,0.913436996,Red
174,0.298839548,0.230765987,Blue
175,0.184134145,0.186728877,Blue
176,-0.171465976,-0.286769478,Red
177,0.21802104,0.203116055,Blue
178,-0.849197009,-0.750789782,Red
179,0.32471782,0.251510784,Blue
180,-0.81532875,0.680561117,Red
181,-1.003127486,2.246943789,Red
182,-1.618107732,1.835984738,Red
183,0.252565726,0.97948653,Red
184,-1.47789373,1.716734659,Red
185,0.280740666,0.235664527,Blue
